nombre;latitud;longitud;direccion;valoracion;reseñas_total;nivel_precio;sitio_web;url_maps;distrito_encontrado
TKO Tacos Clavel;40.4202508;-3.6995511;Calle del Clavel, 5, Centro, 28004 Madrid, Spain;43;6419;€;https://tkotacos.com/;https://maps.google.com/?cid=15302838874270988246;Centro
Wacamole Food & Drink;40.4184537;-3.70071;C. de la Aduana, 25, Centro, 28013 Madrid, Spain;45;1472;€;;https://maps.google.com/?cid=16919714722227638078;Centro
BURRITOS - Chueca;40.4229494;-3.6996695;C. de Augusto Figueroa, 13, Centro, 28004 Madrid, Spain;47;2231;€;http://www.burritos.com.es/;https://maps.google.com/?cid=5484222677531899652;Centro
Cantina Canalla Antracita - Restaurante Mexicano;40.3903292;-3.6896729;C. de la Antracita, 10, Arganzuela, 28045 Madrid, Spain;45;2754;€;http://www.cantinacanalla.com/;https://maps.google.com/?cid=1761074798116395876;Arganzuela
Nacho Bravo Taquería;40.3920836;-3.6947532;Paseo de las Delicias, 139, Arganzuela, 28045 Madrid, Spain;45;1169;€;https://www.esnachobravo.com/;https://maps.google.com/?cid=9371954105307414143;Arganzuela
Ciudad Mezcal;40.4033342;-3.7038703;Calle de las Peñuelas, 19, Arganzuela, 28005 Madrid, Spain;47;529;N/D;https://ciudad-mezcal.eatbu.com/;https://maps.google.com/?cid=10117676822866052132;Arganzuela
Ay Güey Mexican;40.4047454;-3.6967573;Cl. de José Antonio de Armona, 9, Arganzuela, 28012 Madrid, Spain;46;509;N/D;;https://maps.google.com/?cid=5204428427267974367;Arganzuela
El rey de los tacos;40.4061305;-3.6935383;Paseo de las Delicias, 14, Arganzuela, 28045 Madrid, Spain;48;3915;N/D;http://elreydelostacos.top/;https://maps.google.com/?cid=3303655594602199217;Arganzuela
Taquería María Bonita Río-Yeserías;40.398743;-3.7089914;P.º de las Yeserías, 29, Arganzuela, 28005 Madrid, Spain;42;1051;N/D;https://taqueriamariabonita.es/;https://maps.google.com/?cid=1744085119077201242;Arganzuela
Taquería Órale Burrito;40.3982565;-3.7020996;P.º de Sta. María de la Cabeza, 86, Arganzuela, 28005 Madrid, Spain;46;592;N/D;;https://maps.google.com/?cid=10278108468749320615;Arganzuela
Canastaco Madrid;40.3949928;-3.6962137;C. de Miguel Arredondo, 4, Arganzuela, 28045 Madrid, Spain;46;450;€;https://www.instagram.com/canastacomadrid?igsh=MWwzZmxvY3ZjcW1mbA%3D%3D&utm_source=qr;https://maps.google.com/?cid=8965036915049782198;Arganzuela
Taquería María Bonita Imperial;40.401094;-3.7154598;Gta. de las Pirámides, 5, Arganzuela, 28005 Madrid, Spain;42;603;N/D;https://taqueriamariabonita.es/;https://maps.google.com/?cid=6351684077793152900;Arganzuela
La Tentación. La taqueria del mercado;40.40764;-3.70382;C. de Embajadores, 41, local 36, Centro, 28012 Madrid, Spain;48;254;N/D;;https://maps.google.com/?cid=17340304793437733279;Arganzuela
