full_id,osm_id,osm_type,railway,bus,natural,email,monorail,iata,highway,description,addr:housenumber,railway:ref,usage,source_url,indoor,emergency,defibrillator:location,bicycle,location,check_date:wheelchair,source:name,contact:url,name:pt,colour,type,name:es,name:ar,toilets:wheelchair,wheelchair:description,alt_name,light_rail,nohousenumber,addr:street,intercambiador,subway,station,layer,covered,old_name,ref,fare_zone,door,access,wikimedia_commons,internet_access,fare_area,addr:postcode,addr:city,level,entrance,wheelchair,wikipedia,wikidata,website,url,train,public_transport,platforms,operator:wikidata,operator,network:wikidata,network,name,contact:website
n5310126818,"5310126818",node,station,,,,,,,,,,,,,,,,,,,,,#015396,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Lago,Q1902898,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Lago,
n5310126819,"5310126819",node,station,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Santiago Bernabéu,Q2704346,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Santiago Bernabéu,
n5310126820,"5310126820",node,station,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,,es:Estación de Cuzco,Q2482024,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Cuzco,
n5310127221,"5310127221",node,station,,,,,,,,,,,,,,,,,,,,,#015396,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,no,es:Estación de Begoña,Q2482166,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Begoña,
n5310127222,"5310127222",node,station,,,,,,,,,,,,,,,,,,,,,#015396,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,,es:Estación de Fuencarral (Metro de Madrid),Q2059161,,http://www.metromadrid.es/es/viaja_en_metro/red_de_metro/estaciones/Fuencarral.html,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Fuencarral,
n5310127223,"5310127223",node,station,,,,,,,,,,,,,,,,,,,,,#015396,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,,,https://www.metromadrid.es/es/linea/linea-10#estacion-1051,https://www.crtm.es/tu-transporte-publico/metro/estaciones/4_274,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Tres Olivos,http://www.citram.es/HORARIOS/info.aspx?estacion=4_274
n5310127224,"5310127224",node,station,,,,,,,,,,,,,,,,,,,,,#015396,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Montecarmelo,Q2058996,,http://www.citram.es/HORARIOS/info.aspx?estacion=4_275,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Montecarmelo,
n5310127225,"5310127225",node,station,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,,yes,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Las Tablas,Q2244102,,http://www.citram.es/HORARIOS/info.aspx?estacion=4_276,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Las Tablas,
n5310127226,"5310127226",node,station,,,,,,,,,,,,,,,,,,,,,#015396,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Ronda de la Comunicación,Q3941077,,http://www.citram.es/HORARIOS/info.aspx?estacion=4_277,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Ronda de la Comunicación,
n5310153777,"5310153777",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,,Q2060846,,http://www.citram.es/HORARIOS/info.aspx?estacion=4_203,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Cuatro Vientos,
n5310153778,"5310153778",node,station,,,,,,,,,,,,,,,,,,,,,#015396,,,,,,,,,,,yes,subway,,yes,,,,,,Category:Estación de Aviación Española,,A,,,,,yes,es:Estación de Aviación Española,Q2482246,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Aviación Española,
n5310153779,"5310153779",node,station,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Colonia Jardín,Q2060520,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Colonia Jardín,
n5310153781,"5310153781",node,station,,,,,,,,,,,,,,,,,2024-03-06,,,,#015396,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Batán,Q2059269,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Batán,
n5310233321,"5310233321",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,light_rail,,,,,,,,,,A,,,,,,es:Estación de Palas de Rey,Q3889372,,,,station,,,Metro de Madrid,,Metro de Madrid,Palas de Rey,
n5310233342,"5310233342",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,light_rail,,,,,,,,,,A,,,"-1",,yes,es:Estación de Virgen del Cortijo,Q4013882,,,,station,,,Metro de Madrid,,Metro de Madrid,Virgen del Cortijo,
n5310233343,"5310233343",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,light_rail,,,,,,,,,,A,,,,,yes,es:Estación de Fuente de la Mora,Q16891479,,,,station,,,Metro de Madrid,,Metro de Madrid,Fuente de la Mora,
n5310248072,"5310248072",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,light_rail,,,,,,,,,,A,,,"0",,yes,es:Estación de Antonio Saura,Q3620165,,,,station,,,Metro de Madrid,,Metro de Madrid,Antonio Saura,
n5310248118,"5310248118",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,light_rail,,,,,,,,,,A,,,"0",,yes,es:Estación de Álvarez de Villaamil,Q4025159,,,,station,,,Metro de Madrid,,Metro de Madrid,Álvarez de Villaamil,
n5310248129,"5310248129",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,light_rail,,,,,,,,,,A,,,,,yes,es:Estación de Blasco Ibáñez,Q3640873,,,,station,,,Metro de Madrid,,Metro de Madrid,Blasco Ibáñez,
n5310248130,"5310248130",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,light_rail,,,,,,,,,,A,,,,,,es:Estación de María Tudor,Q3850629,,,,station,,,Metro de Madrid,,Metro de Madrid,María Tudor,
n5318415090,"5318415090",node,station,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,yes,es:Estación de San Cristóbal Industrial,Q5847117,https://www.adif.es/w/60101-s.-crist%C3%B3bal-ind.,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_70,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,San Cristóbal Industrial,https://www.citram.es/HORARIOS/info.aspx?estacion=5_70
